63DFB8D3-26D8-A417-A63F-C7C8CD79A9F6 Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 7, Y = 12, Z = -2, qw = 4561, qx = 9523, qy = 8502, qz = -9201, gx = -18, gy = -10, gz = -4
63DFB8D3-26D8-A417-A63F-C7C8CD79A9F6 Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 5, Y = 7, Z = -3, qw = 4562, qx = 9523, qy = 8503, qz = -9200, gx = -19, gy = -7, gz = -3
63DFB8D3-26D8-A417-A63F-C7C8CD79A9F6 Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 4, Y = 5, Z = 0, qw = 4563, qx = 9522, qy = 8504, qz = -9199, gx = -23, gy = -3, gz = -3
63DFB8D3-26D8-A417-A63F-C7C8CD79A9F6 Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 5, Z = 1, qw = 4565, qx = 9522, qy = 8505, qz = -9198, gx = -25, gy = -4, gz = -1
63DFB8D3-26D8-A417-A63F-C7C8CD79A9F6 Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 6, Y = 9, Z = 3, qw = 4566, qx = 9521, qy = 8506, qz = -9197, gx = -20, gy = -5, gz = -1
63DFB8D3-26D8-A417-A63F-C7C8CD79A9F6 Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 7, Y = 10, Z = 3, qw = 4567, qx = 9521, qy = 8507, qz = -9196, gx = -18, gy = -7, gz = -1
63DFB8D3-26D8-A417-A63F-C7C8CD79A9F6 Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 5, Y = 12, Z = 0, qw = 4567, qx = 9521, qy = 8508, qz = -9195, gx = -14, gy = -5, gz = 0
63DFB8D3-26D8-A417-A63F-C7C8CD79A9F6 Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 8, Y = 12, Z = 4, qw = 4568, qx = 9520, qy = 8509, qz = -9194, gx = -17, gy = -8, gz = 0
63DFB8D3-26D8-A417-A63F-C7C8CD79A9F6 Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 5, Y = 14, Z = 0, qw = 4570, qx = 9519, qy = 8509, qz = -9194, gx = -19, gy = -9, gz = 0
63DFB8D3-26D8-A417-A63F-C7C8CD79A9F6 Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 3, Y = 13, Z = 0, qw = 4571, qx = 9519, qy = 8510, qz = -9193, gx = -22, gy = -6, gz = -4
63DFB8D3-26D8-A417-A63F-C7C8CD79A9F6 Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 3, Y = 12, Z = 0, qw = 4572, qx = 9518, qy = 8511, qz = -9192, gx = -22, gy = -3, gz = -5
