Linear Accel X = 504, Y = 140, Z = 148, qw = 11795, qx = 1194, qy = 1444, qz = -11216
Linear Accel X = 413, Y = 180, Z = 108, qw = 11787, qx = 1212, qy = 1392, qz = -11229
Linear Accel X = 413, Y = 188, Z = 142, qw = 11771, qx = 1229, qy = 1314, qz = -11254
Linear Accel X = 411, Y = 185, Z = 112, qw = 11748, qx = 1266, qy = 1232, qz = -11283
Linear Accel X = 366, Y = 127, Z = -21, qw = 11700, qx = 1380, qy = 1125, qz = -11330
Linear Accel X = 365, Y = 100, Z = -103, qw = 11673, qx = 1466, qy = 1080, qz = -11351
Linear Accel X = 366, Y = 130, Z = -45, qw = 11656, qx = 1518, qy = 1058, qz = -11364
Linear Accel X = 382, Y = 178, Z = 70, qw = 11666, qx = 1489, qy = 1010, qz = -11363
Linear Accel X = 358, Y = 160, Z = 33, qw = 11672, qx = 1463, qy = 946, qz = -11365
Linear Accel X = 365, Y = 142, Z = -65, qw = 11668, qx = 1464, qy = 885, qz = -11374
Linear Accel X = 377, Y = 137, Z = -78, qw = 11660, qx = 1461, qy = 844, qz = -11386
Linear Accel X = 368, Y = 162, Z = -47, qw = 11628, qx = 1429, qy = 815, qz = -11424
Linear Accel X = 347, Y = 171, Z = -32, qw = 11630, qx = 1402, qy = 810, qz = -11426
Linear Accel X = 413, Y = 166, Z = 7, qw = 11654, qx = 1368, qy = 810, qz = -11406
Linear Accel X = 424, Y = 157, Z = -13, qw = 11674, qx = 1345, qy = 804, qz = -11389
Linear Accel X = 369, Y = 173, Z = -15, qw = 11655, qx = 1328, qy = 796, qz = -11410
Linear Accel X = 345, Y = 151, Z = -25, qw = 11646, qx = 1328, qy = 790, qz = -11421
Linear Accel X = 368, Y = 164, Z = 19, qw = 11644, qx = 1324, qy = 779, qz = -11423
Linear Accel X = 380, Y = 127, Z = -65, qw = 11649, qx = 1326, qy = 756, qz = -11419
Linear Accel X = 337, Y = 140, Z = -88, qw = 11648, qx = 1320, qy = 751, qz = -11422
Linear Accel X = 331, Y = 157, Z = -48, qw = 11654, qx = 1303, qy = 761, qz = -11417
Linear Accel X = 388, Y = 163, Z = 1, qw = 11665, qx = 1278, qy = 775, qz = -11407
Linear Accel X = 399, Y = 167, Z = 37, qw = 11661, qx = 1105, qy = 772, qz = -11417
Linear Accel X = 352, Y = 156, Z = 4, qw = 11658, qx = 1216, qy = 763, qz = -11422
Linear Accel X = 349, Y = 131, Z = -18, qw = 11657, qx = 1211, qy = 758, qz = -11424
Linear Accel X = 366, Y = 4, Z = -17, qw = 11674, qx = 1214, qy = 769, qz = -11405
Linear Accel X = 374, Y = 124, Z = -50, qw = 11700, qx = 1199, qy = 775, qz = -11380
Linear Accel X = 381, Y = 112, Z = -69, qw = 11725, qx = 1177, qy = 783, qz = -11356
Linear Accel X = 398, Y = 117, Z = -45, qw = 11738, qx = 1154, qy = 798, qz = -11344
Linear Accel X = 421, Y = 140, Z = 14, qw = 11758, qx = 1096, qy = 821, qz = -11328
Linear Accel X = 344, Y = 167, Z = -3, qw = 11749, qx = 1068, qy = 835, qz = -11339
Linear Accel X = 363, Y = 170, Z = 11, qw = 11746, qx = 1041, qy = 842, qz = -11343
Linear Accel X = 400, Y = 158, Z = 32, qw = 11752, qx = 1017, qy = 846, qz = -11339
Linear Accel X = 384, Y = 153, Z = 24, qw = 11754, qx = 996, qy = 847, qz = -11339
Linear Accel X = 349, Y = 154, Z = -13, qw = 11755, qx = 991, qy = 844, qz = -11339
Linear Accel X = 342, Y = 151, Z = -18, qw = 11753, qx = 994, qy = 842, qz = -11341
Linear Accel X = 373, Y = 160, Z = -43, qw = 11757, qx = 989, qy = 847, qz = -11336
Linear Accel X = 327, Y = 153, Z = -25, qw = 11746, qx = 947, qy = 757, qz = -11358
Linear Accel X = 369, Y = 131, Z = -4, qw = 11772, qx = 867, qy = 585, qz = 21421
Linear Accel X = 394, Y = 135, Z = 28, qw = 11787, qx = 842, qy = 574, qz = -11334
Linear Accel X = 351, Y = 136, Z = 41, qw = 11805, qx = 789, qy = 551, qz = -11321
Linear Accel X = 413, Y = 116, Z = -12, qw = 11808, qx = 773, qy = 557, qz = -11318
Linear Accel X = 352, Y = 121, Z = 52, qw = 11813, qx = 679, qy = 390, qz = -11326
Linear Accel X = 326, Y = 127, Z = 74, qw = 11815, qx = 615, qy = 293, qz = -11330
Linear Accel X = 402, Y = 125, Z = 47, qw = 11805, qx = 629, qy = 264, qz = -11340
Linear Accel X = 312, Y = 81, Z = -2, qw = 11799, qx = 641, qy = 229, qz = -11348
