timestamp,calib_mag,calib_accel,calib_gyro,calib_sys,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,label
69.59,3,0,3,2,0.6200,-3.9200,0.3800,24.0000,-8.1875,-38.2500,moving
69.60,3,0,3,2,1.3500,-2.3500,1.6000,16.7500,-2.2500,-40.0625,moving
69.61,3,0,3,2,1.6100,-1.7200,-4.2500,2.7500,39.8750,-40.7500,moving
69.62,3,0,3,2,0.6700,1.0400,-2.1100,-2.0625,29.8125,-42.3750,moving
69.63,3,0,3,2,0.1700,2.0400,-2.6000,14.8750,-53.0625,-25.8750,moving
69.64,3,0,3,2,-1.0900,3.8200,-0.3200,53.1875,-25.4375,-27.4375,moving
69.65,3,0,3,2,-0.8500,4.1900,-1.1200,67.9375,-20.6875,-24.5625,moving
69.66,3,0,3,2,-1.6700,4.6000,-1.2000,56.8750,-8.3125,-23.0000,moving
69.67,3,0,3,2,-1.8300,4.7200,-1.6000,45.9375,10.8750,-15.8125,moving
69.68,3,0,3,2,-2.7300,5.6400,-2.5400,40.0000,29.3125,-3.1875,moving
69.69,3,0,3,2,-2.8800,5.4400,-1.7000,33.0625,34.9375,9.0000,moving
69.70,3,0,3,2,-1.9500,5.1300,-1.9100,23.8750,53.1250,13.6875,moving
69.71,3,0,3,2,-0.8400,2.7200,-2.9100,15.3750,69.2500,10.6875,moving
69.72,3,0,3,2,-0.9100,2.7700,-3.5900,7.8125,50.3750,11.3125,moving
69.73,3,0,3,2,-0.0700,1.9000,-3.4800,7.3750,40.4375,18.8125,moving
69.74,3,0,3,2,-0.1400,3.2800,-3.9200,8.1875,38.8750,24.6875,moving
69.75,3,0,3,2,0.5600,3.5600,-2.5100,10.2500,33.6250,32.2500,moving
69.76,3,0,3,2,1.1900,3.3500,-2.9900,17.1875,23.8125,34.3125,moving
69.77,3,0,3,2,1.1000,3.0000,-2.3700,13.4375,11.5625,36.3125,moving
69.78,3,0,3,2,1.1700,1.9300,-1.4600,13.4375,2.8125,40.2500,moving
69.79,3,0,3,2,0.8300,1.2300,-0.8600,6.1250,1.2500,43.0000,moving
69.80,3,0,3,2,0.6900,0.5900,-0.4600,-3.8750,-8.1875,43.9375,moving
69.81,3,0,3,2,0.1600,-0.1600,0.2100,-17.3750,-32.0000,42.1250,moving
69.82,3,0,3,2,-0.2800,-2.1500,1.2900,-30.1875,-68.6875,36.3750,moving
69.83,3,0,3,2,0.0100,-2.8600,2.8400,-39.7500,-106.3125,27.8750,moving
69.84,3,0,3,2,0.5200,-3.8400,4.3000,-49.7500,-114.4375,14.0000,moving
69.85,3,0,3,2,-0.0200,-3.7000,5.4000,-55.9375,-61.7500,2.2500,moving
69.86,3,0,3,2,1.6100,-3.4300,5.0300,-53.9375,-15.4375,-3.4375,moving
69.87,3,0,3,2,1.8500,-3.9000,3.7900,-50.4375,-9.5000,-3.9375,moving
69.88,3,0,3,2,0.4000,-3.0800,2.9800,-36.0000,10.7500,13.3125,moving
69.89,3,0,3,2,-1.0700,-3.1100,3.1100,-16.1250,24.0000,27.5000,moving
69.90,3,0,3,2,-1.0000,-3.5200,2.3500,-14.0000,27.3750,30.1250,moving
69.91,3,0,3,2,-0.5200,-3.9100,2.1100,-30.5625,34.7500,19.5000,moving
69.92,3,0,3,2,-0.6300,-4.6300,1.6700,-35.5000,34.5000,8.5625,moving
69.93,3,0,3,2,0.3200,-5.6500,1.6100,-28.1250,17.8750,-4.3125,moving
69.94,3,0,3,2,0.4400,-5.7900,1.5900,-5.5625,-21.7500,-13.0625,moving
69.95,3,0,3,2,0.5800,-5.5600,1.5500,3.5625,-35.5000,-26.8750,moving
69.96,3,0,3,2,1.5800,-5.0500,2.1400,6.3750,-44.2500,-39.1250,moving
69.97,3,0,3,2,2.2100,-4.1300,2.6000,10.9375,-37.5000,-49.5000,moving
69.98,3,0,3,2,2.4600,-3.5400,2.3600,13.3125,-35.8750,-50.2500,moving
69.99,3,0,3,2,2.1900,-2.5900,1.2400,8.7500,-31.8750,-40.3125,moving
70.00,3,0,3,2,2.1300,-1.2900,-0.6900,8.7500,-31.8750,-40.3125,moving
70.01,3,0,3,2,2.0100,-1.0800,-1.4900,21.3750,-25.1875,-44.4375,moving
70.02,3,0,3,2,1.7000,-0.7900,-1.5300,34.9375,-21.9375,-51.1250,moving
70.03,3,0,3,2,1.0800,0.2800,-1.5900,38.6250,-24.8750,-55.1875,moving
70.04,3,0,3,1,0.7800,1.0600,-1.6900,19.1250,-37.8750,-50.7500,moving
70.05,3,0,3,1,0.3000,1.9600,-1.8900,16.7500,-24.7500,-43.0625,moving
70.06,3,0,3,1,-0.5600,2.9100,-2.1400,16.7500,-24.7500,-43.0625,moving
70.07,3,0,3,1,-1.7800,4.5700,-1.8700,26.6875,16.6250,-33.1875,moving
70.08,3,0,3,1,-2.3300,5.3600,-2.0300,24.3750,19.1875,-27.2500,moving
70.09,3,0,3,1,-2.8000,4.8300,-1.2600,20.3125,31.0000,-19.7500,moving
70.10,3,0,3,1,-3.1500,6.5300,-3.0600,13.1875,42.5625,-11.4375,moving
70.11,3,0,3,1,-2.9500,5.7000,-2.5700,11.4375,44.5000,-4.0000,moving
70.12,3,0,3,1,-2.2500,4.7300,-2.8400,5.2500,44.5000,4.5625,moving
70.13,3,0,3,1,-1.9000,6.4200,-2.9300,-9.5625,49.5625,13.2500,moving
70.14,3,0,3,1,-1.2200,5.3700,-4.0700,-14.0000,46.3750,13.6250,moving
70.15,3,0,3,1,-0.8700,4.9700,-3.9800,-10.3750,28.0625,16.8750,moving
70.16,3,0,3,1,-0.3600,4.3600,-4.0600,-7.0625,13.4375,20.4375,moving
70.17,3,0,3,1,0.3100,3.8800,-3.5100,-6.8125,2.0625,26.0000,moving
70.18,3,0,3,1,0.4400,2.9800,-2.9200,-11.3750,1.1875,31.6875,moving
70.19,3,0,3,1,0.6900,2.6900,-2.6400,-18.0000,2.1875,34.5625,moving
70.20,3,0,3,1,0.8400,2.3800,-2.6000,-24.1250,4.2500,36.2500,moving
70.21,3,0,3,1,1.1200,1.6500,-1.7400,-24.6250,10.5000,40.7500,moving
70.22,3,0,3,1,0.7900,1.5000,-1.3500,-23.6250,6.5000,50.0000,moving
70.23,3,0,3,1,0.5100,1.3300,-1.0300,-20.8125,-9.4375,59.4375,moving
70.24,3,0,3,1,0.1300,1.1600,-0.5700,-20.0000,-32.1250,66.6250,moving
