timestamp,calib_mag,calib_accel,calib_gyro,calib_sys,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1721764454.76,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1721764454.79,0,0,0,0,0.0000,0.0000,0.0000,0.0000,-0.2500,0.0000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1721764454.80,0,0,0,0,0.0000,0.0000,0.0000,0.1875,-0.3750,0.0000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1721764454.81,0,0,0,0,0.0000,0.0000,0.0000,-0.1875,0.1875,0.0000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1721764454.82,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1721764454.83,0,0,0,0,-1.1000,0.1300,-0.4700,0.1250,-0.3750,-0.1250,1.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1721764454.84,0,0,0,0,-1.0800,0.1200,-0.5200,0.0000,0.3125,0.0000,1.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1721764454.84,0,0,0,0,-1.0900,0.1200,-0.5600,-0.1250,0.2500,0.0000,1.00000000000000,0.00000000000000,0.00006103515625,0.00000000000000
1721764454.85,0,0,0,0,-1.0900,0.1100,-0.5200,0.1250,-0.3125,0.0000,1.00000000000000,0.00000000000000,0.00006103515625,0.00000000000000
1721764454.86,0,0,0,0,-1.1000,0.1300,-0.4800,0.0000,0.0000,-0.0625,1.00000000000000,0.00000000000000,0.00006103515625,0.00000000000000
1721764454.88,0,0,0,0,0.0500,0.0000,-0.4600,-0.1250,0.1875,-0.0625,0.99829101562500,0.00689697265625,0.05853271484375,0.00000000000000
1721764454.89,0,0,0,0,0.0500,-0.0100,-0.4600,0.0625,0.0000,0.0000,0.99829101562500,0.00689697265625,0.05853271484375,0.00000000000000
1721764454.90,0,0,0,0,0.0400,0.0000,-0.4100,0.0000,-0.3125,0.0000,0.99829101562500,0.00689697265625,0.05853271484375,0.00000000000000
1721764454.91,0,0,0,0,0.0600,-0.0200,-0.4300,-0.1875,0.4375,-0.1250,0.99829101562500,0.00689697265625,0.05853271484375,0.00000000000000
1721764454.92,0,0,0,0,0.0300,-0.0300,-0.4200,0.0000,-0.0625,0.1250,0.99822998046875,0.00689697265625,0.05853271484375,0.00000000000000
1721764454.93,0,0,0,0,0.0600,0.0000,-0.3600,0.2500,-0.5625,-0.0625,0.99829101562500,0.00689697265625,0.05853271484375,0.00000000000000
1721764454.93,0,0,0,0,0.0400,0.0000,-0.4200,0.0000,0.6250,0.0000,0.99822998046875,0.00689697265625,0.05859375000000,0.00000000000000
1721764454.94,0,0,0,0,0.0500,-0.0200,-0.5200,-0.2500,0.1875,0.0000,0.99822998046875,0.00689697265625,0.05859375000000,0.00000000000000
1721764454.96,0,0,0,0,0.0700,0.0000,-0.3900,0.4375,-0.8125,-0.0625,0.99829101562500,0.00689697265625,0.05853271484375,0.00000000000000
1721764454.97,0,0,0,0,0.0400,0.0000,-0.3900,0.0000,0.0000,0.0000,0.99829101562500,0.00689697265625,0.05853271484375,0.00000000000000
1721764454.98,0,0,0,0,0.0400,0.0100,-0.4900,-0.3750,0.8125,-0.1250,0.99822998046875,0.00689697265625,0.05859375000000,0.00000000000000
1721764454.99,0,0,0,0,0.0500,0.0000,-0.4100,0.3125,-0.3750,-0.1250,0.99822998046875,0.00689697265625,0.05865478515625,0.00000000000000
1721764455.00,0,0,0,0,0.0500,0.0100,-0.3900,0.1875,-0.6250,0.0000,0.99822998046875,0.00689697265625,0.05859375000000,0.00000000000000
1721764455.01,0,0,0,0,0.0400,-0.0100,-0.4500,-0.3125,0.6875,0.0000,0.99822998046875,0.00689697265625,0.05865478515625,0.00000000000000
1721764455.01,0,0,0,0,0.0400,0.0000,-0.5200,0.0000,0.2500,-0.0625,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.02,0,0,0,0,0.0700,0.0000,-0.4000,0.3750,-0.7500,-0.0625,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.03,0,0,0,0,0.0700,0.0000,-0.4300,-0.0625,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.05,0,0,0,0,0.0600,0.0000,-0.4900,-0.2500,0.3750,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.06,0,0,0,0,0.0500,0.0000,-0.4500,0.2500,-0.6250,0.0625,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.07,0,0,0,0,0.0400,-0.0200,-0.4200,0.0625,-0.2500,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.08,0,0,0,0,0.0500,0.0000,-0.4700,-0.2500,0.5000,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.09,0,0,0,0,0.0500,0.0000,-0.4900,0.0000,0.0000,-0.0625,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.09,0,0,0,0,0.0700,0.0000,-0.4200,0.1875,-0.5625,0.0000,0.99829101562500,0.00695800781250,0.05853271484375,0.00000000000000
1721764455.10,0,0,0,0,0.0400,0.0000,-0.4300,-0.1875,0.0625,0.0000,0.99829101562500,0.00695800781250,0.05853271484375,0.00000000000000
1721764455.11,0,0,0,0,0.0400,0.0000,-0.4700,-0.0625,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05853271484375,0.00000000000000
1721764455.13,0,0,0,0,0.0700,0.0000,-0.4200,0.1250,-0.0625,-0.0625,0.99822998046875,0.00695800781250,0.05853271484375,0.00000000000000
1721764455.14,0,0,0,0,0.0500,0.0000,-0.4400,0.0000,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.15,0,0,0,0,0.0500,-0.0200,-0.4700,0.0000,0.0625,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.16,0,0,0,0,0.0600,-0.0100,-0.4300,0.1250,-0.2500,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.17,0,0,0,0,0.0500,-0.0300,-0.4000,0.0625,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.18,0,0,0,0,0.0500,0.0200,-0.4600,0.0000,0.2500,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.18,0,0,0,0,0.0600,-0.0100,-0.4300,0.0000,-0.1875,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.19,0,0,0,0,0.0600,0.0000,-0.4100,0.0625,-0.3125,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.21,0,0,0,0,0.0600,-0.0100,-0.4300,-0.1875,0.3125,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.22,0,0,0,0,0.0400,0.0100,-0.4600,0.0000,0.0625,-0.0625,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.23,0,0,0,0,0.0600,-0.0100,-0.4100,0.1250,-0.4375,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.24,0,0,0,0,0.0400,0.0100,-0.3800,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05859375000000,0.00000000000000
1721764455.25,0,0,0,0,0.0700,-0.0100,-0.4500,-0.2500,0.5000,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.26,0,0,0,0,0.0400,-0.0100,-0.4300,0.0000,-0.1875,-0.0625,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.26,0,0,0,0,0.0500,0.0100,-0.4100,0.1250,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.27,0,0,0,0,0.0400,-0.0200,-0.4600,-0.0625,0.2500,-0.0625,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.29,0,0,0,0,0.0400,0.0100,-0.4800,-0.0625,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.30,0,0,0,0,0.0600,0.0000,-0.3800,0.1250,-0.4375,-0.0625,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.31,0,0,0,0,0.0700,0.0100,-0.4300,0.0000,0.1875,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.32,0,0,0,0,0.0500,0.0000,-0.4500,-0.1875,0.3125,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.33,0,0,0,0,0.0500,0.0000,-0.4800,0.1250,-0.4375,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.34,0,0,0,0,0.0500,0.0000,-0.4300,0.0000,0.0000,-0.1250,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.34,0,0,0,0,0.0500,0.0000,-0.4400,-0.0625,0.3750,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
