timestamp,calib_mag,calib_accel,calib_gyro,calib_sys,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,label
59.85,3,1,3,0,-0.0300,0.3900,0.0400,-6.7500,-10.0000,-1.6875,0.46807861328125,-0.57989501953125,0.53540039062500,0.39752197265625,moving
59.87,3,1,3,0,0.0200,0.4000,-0.1200,-6.1250,-10.0000,-1.8750,0.46820068359375,-0.57983398437500,0.53472900390625,0.39837646484375,moving
59.88,3,1,3,0,0.0000,0.2800,-0.6800,-5.9375,-8.7500,-2.3750,0.46838378906250,-0.57983398437500,0.53405761718750,0.39898681640625,moving
59.89,3,1,3,0,-0.0500,0.1100,-0.9100,-6.3125,-6.6875,-2.6875,0.46844482421875,-0.58001708984375,0.53344726562500,0.39953613281250,moving
59.90,3,1,3,0,-0.1600,-0.0600,-1.0900,-7.0000,-4.7500,-3.1875,0.46844482421875,-0.58026123046875,0.53283691406250,0.39996337890625,moving
59.91,3,1,3,0,-0.1100,-0.1600,-1.2200,-6.6875,-3.1250,-4.1250,0.46838378906250,-0.58062744140625,0.53222656250000,0.40026855468750,moving
59.92,3,1,3,0,0.0400,-0.4100,-1.2700,-5.5000,-1.2500,-4.8125,0.46832275390625,-0.58099365234375,0.53173828125000,0.40039062500000,moving
59.92,3,1,3,0,0.2300,-0.4700,-1.2400,-4.1875,1.5625,-5.0000,0.46820068359375,-0.58148193359375,0.53143310546875,0.40032958984375,moving
59.93,3,1,3,0,0.4700,-0.5400,-1.2200,-2.7500,4.3125,-4.7500,0.46801757812500,-0.58197021484375,0.53125000000000,0.40002441406250,moving
59.94,3,1,3,0,0.6600,-0.6700,-1.1600,-0.6250,7.0625,-4.2500,0.46783447265625,-0.58245849609375,0.53131103515625,0.39953613281250,moving
59.96,3,1,3,0,0.9700,-0.8800,-0.9800,1.8750,9.6250,-3.7500,0.46759033203125,-0.58288574218750,0.53155517578125,0.39880371093750,moving
59.97,3,1,3,0,1.1000,-0.7500,-0.9500,5.3125,11.1875,-3.0000,0.46746826171875,-0.58319091796875,0.53210449218750,0.39782714843750,moving
59.98,3,1,3,0,1.2200,-0.6200,-0.9400,9.5625,11.5000,-2.3125,0.46746826171875,-0.58331298828125,0.53277587890625,0.39672851562500,moving
59.99,3,1,3,0,1.3200,-0.6300,-0.8900,14.3750,10.8125,-0.2500,0.46771240234375,-0.58306884765625,0.53369140625000,0.39550781250000,moving
60.00,3,1,3,0,1.4400,-0.5900,-0.7500,18.3125,12.5000,1.7500,0.46795654296875,-0.58270263671875,0.53491210937500,0.39404296875000,moving
60.00,3,1,3,0,1.5200,-0.6000,-0.5500,20.1250,13.5000,3.1875,0.46826171875000,-0.58221435546875,0.53637695312500,0.39257812500000,moving
60.02,3,1,3,0,1.6300,-0.7200,-0.2500,20.4375,13.9375,3.5625,0.46850585937500,-0.58166503906250,0.53778076171875,0.39105224609375,moving
60.03,3,1,3,0,1.5500,-0.3800,0.2600,17.3750,17.5625,3.3750,0.46844482421875,-0.58142089843750,0.53930664062500,0.38946533203125,moving
