timestamp,calib_mag,calib_accel,calib_gyro,calib_sys,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,label
440.05,3,0,3,0,2.4400,-0.3500,-0.7000,-41.3750,72.3125,2.1250,0.67132568359375,0.15649414062500,0.72021484375000,0.07788085937500,moving
440.06,3,0,3,0,3.3600,-0.9600,-1.2200,-41.9375,41.4375,-1.1250,0.66931152343750,0.15368652343750,0.72241210937500,0.08099365234375,moving
440.07,3,0,3,0,4.8700,-1.2600,-0.4000,-27.5000,-7.3750,-1.1250,0.67016601562500,0.15203857421875,0.72174072265625,0.08258056640625,moving
440.08,3,0,3,0,5.3800,-1.8500,-0.0300,-31.7500,-13.7500,0.0000,0.67144775390625,0.15032958984375,0.72070312500000,0.08435058593750,moving
440.09,3,0,3,0,6.6000,-2.1800,0.1500,-36.3125,-5.6875,6.0625,0.67224121093750,0.14862060546875,0.72003173828125,0.08691406250000,moving
440.10,3,0,3,0,7.1000,-2.2000,-0.2300,-33.1875,3.9375,12.0625,0.67236328125000,0.14739990234375,0.71984863281250,0.08978271484375,moving
440.11,3,0,3,0,7.6100,-1.9500,-0.4300,-27.5625,8.7500,16.7500,0.67199707031250,0.14672851562500,0.71990966796875,0.09259033203125,moving
440.12,3,0,3,0,8.0000,-1.2400,-0.9700,-28.3750,20.5000,15.3125,0.67095947265625,0.14587402343750,0.72070312500000,0.09558105468750,moving
440.13,3,0,3,0,7.8700,-0.8900,-1.4500,-31.1250,31.6250,8.2500,0.66931152343750,0.14428710937500,0.72216796875000,0.09838867187500,moving
440.14,3,0,3,0,7.2400,-1.3300,-2.0600,-25.2500,28.6250,0.6875,0.66778564453125,0.14263916015625,0.72363281250000,0.10040283203125,moving
440.15,3,0,3,0,6.4300,-1.0400,-2.4700,-7.9375,0.1250,1.7500,0.66790771484375,0.14227294921875,0.72351074218750,0.10101318359375,moving
440.16,3,0,3,0,4.6500,-0.5200,-1.4900,15.1250,-25.9375,2.9375,0.66931152343750,0.14355468750000,0.72210693359375,0.09991455078125,moving
440.17,3,0,3,0,3.3000,-0.5400,-1.1400,33.0000,-25.6250,2.5625,0.67047119140625,0.14587402343750,0.72088623046875,0.09765625000000,moving
440.18,3,0,3,0,1.6000,0.2400,-1.3700,42.8750,-12.9375,0.3750,0.67071533203125,0.14849853515625,0.72045898437500,0.09478759765625,moving
440.19,3,0,3,0,-4.4800,2.6800,-2.6900,56.8125,-13.4375,-12.2500,0.67089843750000,0.15118408203125,0.72033691406250,0.09033203125000,moving
440.20,3,0,3,0,-9.9700,4.1300,-2.7400,74.2500,-44.9375,-36.5625,0.67303466796875,0.15356445312500,0.71875000000000,0.08294677734375,moving
440.21,3,0,3,0,-16.3900,5.9500,-1.8300,75.8750,-87.3750,-54.1875,0.67779541015625,0.15527343750000,0.71484375000000,0.07379150390625,moving
440.22,3,0,3,0,-18.6600,4.5200,0.3600,83.1250,-121.2500,-26.1250,0.68432617187500,0.15930175781250,0.70849609375000,0.06542968750000,moving
440.23,3,0,3,0,-10.2600,2.0400,7.9500,96.1875,-118.3125,13.6250,0.69018554687500,0.16656494140625,0.70178222656250,0.05865478515625,moving
440.24,3,0,3,0,-4.6900,0.5500,9.5600,70.4375,-85.8125,25.4375,0.69427490234375,0.17279052734375,0.69653320312500,0.05462646484375,moving
