9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -59, Y = -23, Z = -6, qw = 9165, qx = 1842, qy = -846, qz = -13429, gx = 371, gy = 254, gz = 6

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -7, Y = -21, Z = 85, qw = 9157, qx = 1869, qy = -866, qz = -13429, gx = 363, gy = 111, gz = -59

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 1, Y = -7, Z = 122, qw = 9149, qx = 1885, qy = -884, qz = -13431, gx = 275, gy = 34, gz = -73

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -1, Y = 2, Z = 121, qw = 9143, qx = 1890, qy = -890, qz = -13434, gx = 95, gy = 2, gz = -66

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -14, Y = 8, Z = 54, qw = 9139, qx = 1881, qy = -881, qz = -13439, gx = -130, gy = -39, gz = -73

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -8, Y = 2, Z = 0, qw = 9134, qx = 1861, qy = -860, qz = -13446, gx = -318, gy = -68, gz = -103

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 5, Y = -9, Z = -31, qw = 9129, qx = 1837, qy = -835, qz = -13454, gx = -379, gy = -76, gz = -117

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 5, Y = -9, Z = -55, qw = 9125, qx = 1818, qy = -814, qz = -13461, gx = -306, gy = -58, gz = -94

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 3, Y = 2, Z = -53, qw = 9122, qx = 1807, qy = -806, qz = -13465, gx = -141, gy = -60, gz = -59

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 6, Y = 13, Z = -21, qw = 9119, qx = 1802, qy = -814, qz = -13467, gx = 44, gy = -95, gz = -26

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 30, Y = 21, Z = 25, qw = 9117, qx = 1803, qy = -834, qz = -13468, gx = 185, gy = -124, gz = 2

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 45, Y = 31, Z = 82, qw = 9118, qx = 1802, qy = -854, qz = -13465, gx = 182, gy = -122, gz = 54

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 9, Y = 50, Z = 87, qw = 9126, qx = 1801, qy = -859, qz = -13460, gx = 29, gy = -36, gz = 119

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -7, Y = 44, Z = 57, qw = 9139, qx = 1791, qy = -846, qz = -13453, gx = -192, gy = -8, gz = 142

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -19, Y = 40, Z = 16, qw = 9151, qx = 1770, qy = -822, qz = -13449, gx = -366, gy = -23, gz = 120

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -22, Y = 43, Z = -18, qw = 9161, qx = 1745, qy = -790, qz = -13448, gx = -455, gy = -22, gz = 76

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -14, Y = 40, Z = -74, qw = 9167, qx = 1719, qy = -757, qz = -13449, gx = -483, gy = -35, gz = 29

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 3, Y = 40, Z = -91, qw = 9170, qx = 1692, qy = -727, qz = -13452, gx = -442, gy = -68, gz = -11

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 16, Y = 39, Z = -103, qw = 9171, qx = 1667, qy = -706, qz = -13455, gx = -350, gy = -95, gz = -25

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 38, Y = 23, Z = -98, qw = 9173, qx = 1647, qy = -696, qz = -13457, gx = -228, gy = -125, gz = -8

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 38, Y = 11, Z = -96, qw = 9178, qx = 1630, qy = -693, qz = -13456, gx = -131, gy = -131, gz = 52

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 22, Y = 8, Z = -103, qw = 9187, qx = 1621, qy = -697, qz = -13451, gx = -38, gy = -101, gz = 125

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 8, Y = 4, Z = -87, qw = 9199, qx = 1619, qy = -706, qz = -13442, gx = 65, gy = -61, gz = 176

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 8, Y = 4, Z = -87, qw = 9199, qx = 1619, qy = -706, qz = -13442, gx = 65, gy = -61, gz = 176

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -22, Y = 5, Z = -39, qw = 9212, qx = 1627, qy = -718, qz = -13432, gx = 153, gy = 12, gz = 199

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -21, Y = 20, Z = -13, qw = 9224, qx = 1642, qy = -728, qz = -13421, gx = 176, gy = 93, gz = 184

9A4A244A-E780-DE69-9342-F2E7207E194E Ranges to 1 devices:   0x59: 744 mm

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -20, Y = 11, Z = 1, qw = 9234, qx = 1654, qy = -733, qz = -13412, gx = 115, gy = 99, gz = 145

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -19, Y = 8, Z = -5, qw = 9242, qx = 1662, qy = -733, qz = -13406, gx = 37, gy = 78, gz = 107

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 33, Y = -4, Z = -18, qw = 9248, qx = 1663, qy = -732, qz = -13402, gx = 1, gy = 27, gz = 75

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 45, Y = -17, Z = -5, qw = 9255, qx = 1664, qy = -735, qz = -13397, gx = 24, gy = 5, gz = 100

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 16, Y = -11, Z = 0, qw = 9268, qx = 1678, qy = -738, qz = -13386, gx = 105, gy = 125, gz = 185

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -22, Y = 1, Z = -7, qw = 9284, qx = 1698, qy = -742, qz = -13372, gx = 158, gy = 182, gz = 225

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -27, Y = 10, Z = -7, qw = 9296, qx = 1712, qy = -749, qz = -13361, gx = 139, gy = 96, gz = 184

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -22, Y = 2, Z = 21, qw = 9304, qx = 1724, qy = -758, qz = -13354, gx = 147, gy = 67, gz = 125

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = -13, Y = 1, Z = 36, qw = 9310, qx = 1740, qy = -766, qz = -13347, gx = 171, gy = 111, gz = 88

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 1, mag 3 Linear Accel X = 0, Y = -1, Z = 42, qw = 9314, qx = 1755, qy = -772, qz = -13342, gx = 155, gy = 99, gz = 68

