9A4A244A-E780-DE69-9342-F2E7207E194E Ranges to 1 devices:   0x59: 912 mm

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 27, Y = -77, Z = -206, qw = 882, qx = -1175, qy = -1063, qz = 16283, gx = 962, gy = -2974, gz = 834

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 28, Y = -84, Z = 0, qw = 1915, qx = 1900, qy = -146, qz = 16160, gx = -128, gy = -232, gz = 211

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Ranges to 1 devices:   0x36: 912 mm

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 26, Y = -99, Z = 1, qw = 1898, qx = 1917, qy = -170, qz = 16159, gx = -208, gy = -222, gz = 215

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 29, Y = -112, Z = 3, qw = 1883, qx = 1937, qy = -199, qz = 16159, gx = -268, gy = -262, gz = 197

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 42, Y = -130, Z = 7, qw = 1870, qx = 1961, qy = -222, qz = 16157, gx = -207, gy = -296, gz = 167

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 81, Y = 185, Z = 32, qw = 746, qx = -831, qy = -898, qz = 16321, gx = 1962, gy = -3853, gz = 1422

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 111, Y = 140, Z = -39, qw = 584, qx = -564, qy = -702, qz = 16349, gx = 2251, gy = -3000, gz = 1770

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 29, Y = -127, Z = 2, qw = 1861, qx = 1980, qy = -231, qz = 16155, gx = -58, gy = -228, gz = 111

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 18, Y = -120, Z = -6, qw = 1854, qx = 1993, qy = -230, qz = 16155, gx = 46, gy = -145, gz = 67

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 103, Y = 87, Z = -56, qw = 422, qx = -391, qy = -540, qz = 16365, gx = 1820, gy = -1954, gz = 1787

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 140, Y = 48, Z = -115, qw = 281, qx = -299, qy = -447, qz = 16373, gx = 1032, gy = -1051, gz = 1575

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 85, Y = 43, Z = -78, qw = 194, qx = -268, qy = -421, qz = 16375, gx = 287, gy = -371, gz = 974

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 14, Y = 43, Z = -77, qw = 152, qx = -279, qy = -449, qz = 16375, gx = -327, gy = 105, gz = 461

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = 13, Y = -113, Z = -14, qw = 1850, qx = 2005, qy = -228, qz = 16154, gx = 46, gy = -129, gz = 32

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -1, Y = -96, Z = -41, qw = 1848, qx = 2014, qy = -228, qz = 16153, gx = 19, gy = -95, gz = 24

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 1, mag 3 Linear Accel X = -11, Y = -88, Z = -55, qw = 1845, qx = 2017, qy = -230, qz = 16153, gx = -18, gy = -40, gz = 34

