9A4A244A-E780-DE69-9342-F2E7207E194E Ranges to 1 devices:   0x59: 1230 mm

Found Device: AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F
9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -1, Z = -16, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -1, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 1, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -20, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = -2

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 0, Z = -16, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 2, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -1, Z = -20, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -16, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -1, Z = -15, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 0, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -20, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 1, Z = -21, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 1, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = -1, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -16, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 1, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -3, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -15, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = -2

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -1, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -1, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -20, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -2, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -15, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = -1, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = -2

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -1, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -2, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -1, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -1, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -2, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -1, Z = -16, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -1, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Ranges to 1 devices:   0x59: 1223 mm

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -1, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 2, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -1, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -16, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -3, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -2, Z = -16, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 1, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 1, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -16, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = -1, Y = -2, Z = -16, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -1, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -3, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -4, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -2, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -2, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 1, Z = -20, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = -2, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = -1, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -20, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 1, Z = -20, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -1, Z = -16, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -1, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = -1, Z = -16, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -16, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -1, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 1, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -1, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -1, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 1, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = -2, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 1, gy = -2, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = -1

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 1, Z = -19, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 0, Z = -17, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = 0, gz = 0

9A4A244A-E780-DE69-9342-F2E7207E194E Calibration status: sys 0, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 0, Z = -18, qw = 10860, qx = 455, qy = -24, qz = -12260, gx = 0, gy = -1, gz = 0

