AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 12, Y = 16, Z = 3, qw = 2833, qx = 453, qy = -283, qz = -16128, gx = 0, gy = 16, gz = -11

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 13, Y = 14, Z = 4, qw = 2833, qx = 453, qy = -284, qz = -16128, gx = -1, gy = 12, gz = 0

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 8, Y = 8, Z = 0, qw = 2833, qx = 454, qy = -283, qz = -16128, gx = -10, gy = 18, gz = 2

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 3, Y = 3, Z = -8, qw = 2833, qx = 457, qy = -279, qz = -16128, gx = -24, gy = 20, gz = 2

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 0, Y = 4, Z = -10, qw = 2833, qx = 458, qy = -277, qz = -16128, gx = -21, gy = 18, gz = -1

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 7, Y = 4, Z = -12, qw = 2833, qx = 459, qy = -275, qz = -16128, gx = -16, gy = 18, gz = -4

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 5, Y = 6, Z = -7, qw = 2833, qx = 461, qy = -275, qz = -16128, gx = -8, gy = 20, gz = -3

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 4, Y = 4, Z = 2, qw = 2833, qx = 463, qy = -275, qz = -16128, gx = -3, gy = 25, gz = -1

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 5, Y = 8, Z = 6, qw = 2833, qx = 465, qy = -275, qz = -16128, gx = 2, gy = 17, gz = -6

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 8, Y = 8, Z = 5, qw = 2832, qx = 466, qy = -275, qz = -16128, gx = 5, gy = 16, gz = -14

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 5, Y = 10, Z = 2, qw = 2831, qx = 466, qy = -275, qz = -16129, gx = 8, gy = 4, gz = -15

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 3, Y = 10, Z = -2, qw = 2829, qx = 465, qy = -277, qz = -16129, gx = 15, gy = -10, gz = -17

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 3, Y = 10, Z = 1, qw = 2828, qx = 464, qy = -280, qz = -16129, gx = 24, gy = -19, gz = -13

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 5, Y = 6, Z = 0, qw = 2827, qx = 462, qy = -282, qz = -16129, gx = 26, gy = -22, gz = -9

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 2, Y = 8, Z = 0, qw = 2827, qx = 460, qy = -285, qz = -16129, gx = 26, gy = -27, gz = -2

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = 1, Y = 6, Z = 2, qw = 2827, qx = 458, qy = -289, qz = -16129, gx = 29, gy = -32, gz = 8

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -1, Y = 4, Z = 2, qw = 2828, qx = 455, qy = -291, qz = -16129, gx = 21, gy = -33, gz = 13

AE62D6C7-4E48-FE5D-B0B8-7D09EDFC893F Calibration status: sys 3, gyro 3, accel 0, mag 3 Linear Accel X = -1, Y = 0, Z = 2, qw = 2830, qx = 454, qy = -291, qz = -16129, gx = 6, gy = -18, gz = 24

